2024-08-08 00:13:44,141 - ERROR - Error inserting row 119 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row119
2024-08-08 00:13:44,141 - ERROR - Error inserting row 120 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row120
2024-08-08 00:13:44,142 - ERROR - Error inserting row 121 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row121
2024-08-08 00:13:44,142 - ERROR - Error inserting row 122 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row122
2024-08-08 00:13:44,142 - ERROR - Error inserting row 123 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row123
2024-08-08 00:13:44,143 - ERROR - Error inserting row 124 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row124
2024-08-08 00:13:44,143 - ERROR - Error inserting row 125 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row125
2024-08-08 00:13:44,144 - ERROR - Error inserting row 126 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row126
2024-08-08 00:13:44,144 - ERROR - Error inserting row 127 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row127
2024-08-08 00:13:44,144 - ERROR - Error inserting row 128 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row128
2024-08-08 00:13:44,145 - ERROR - Error inserting row 129 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row129
2024-08-08 00:13:44,145 - ERROR - Error inserting row 130 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row130
2024-08-08 00:13:44,145 - ERROR - Error inserting row 131 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row131
2024-08-08 00:13:44,146 - ERROR - Error inserting row 132 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row132
2024-08-08 00:13:44,146 - ERROR - Error inserting row 133 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row133
2024-08-08 00:13:44,146 - ERROR - Error inserting row 134 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row134
2024-08-08 00:13:44,147 - ERROR - Error inserting row 135 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row135
2024-08-08 00:13:44,147 - ERROR - Error inserting row 136 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row136
2024-08-08 00:13:44,148 - ERROR - Error inserting row 137 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row137
2024-08-08 00:13:44,148 - ERROR - Error inserting row 138 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row138
2024-08-08 00:13:44,148 - ERROR - Error inserting row 139 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row139
2024-08-08 00:13:44,149 - ERROR - Error inserting row 140 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row140
2024-08-08 00:13:44,149 - ERROR - Error inserting row 141 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row141
2024-08-08 00:13:44,149 - ERROR - Error inserting row 142 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row142
2024-08-08 00:13:44,150 - ERROR - Error inserting row 143 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row143
2024-08-08 00:13:44,150 - ERROR - Error inserting row 144 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row144
2024-08-08 00:13:44,150 - ERROR - Error inserting row 145 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row145
2024-08-08 00:13:44,151 - ERROR - Error inserting row 146 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row146
2024-08-08 00:13:44,151 - ERROR - Error inserting row 147 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row147
2024-08-08 00:13:44,152 - ERROR - Error inserting row 148 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row148
2024-08-08 00:13:44,152 - ERROR - Error inserting row 149 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row149
2024-08-08 00:13:44,152 - ERROR - Error inserting row 150 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row150
2024-08-08 00:13:44,153 - ERROR - Error inserting row 151 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row151
2024-08-08 00:13:44,153 - ERROR - Error inserting row 152 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row152
2024-08-08 00:13:44,153 - ERROR - Error inserting row 153 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row153
2024-08-08 00:13:44,154 - ERROR - Error inserting row 154 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row154
2024-08-08 00:13:44,154 - ERROR - Error inserting row 155 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row155
2024-08-08 00:13:44,155 - ERROR - Error inserting row 156 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row156
2024-08-08 00:13:44,155 - ERROR - Error inserting row 157 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row157
2024-08-08 00:13:44,155 - ERROR - Error inserting row 158 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row158
2024-08-08 00:13:44,156 - ERROR - Error inserting row 159 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row159
2024-08-08 00:13:44,156 - ERROR - Error inserting row 160 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row160
2024-08-08 00:13:44,156 - ERROR - Error inserting row 161 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row161
2024-08-08 00:13:44,157 - ERROR - Error inserting row 162 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row162
2024-08-08 00:13:44,157 - ERROR - Error inserting row 163 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row163
2024-08-08 00:13:44,157 - ERROR - Error inserting row 164 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row164
2024-08-08 00:13:44,158 - ERROR - Error inserting row 165 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row165
2024-08-08 00:13:44,158 - ERROR - Error inserting row 166 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row166
2024-08-08 00:13:44,159 - ERROR - Error inserting row 167 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row167
